Actual,Prediction
27.0,15.49758817117107
30.0,13.816930236898811
2.0,4.362526739738285
0.0,5.355971154155714
28.0,2.003643804766443
19.0,0.11764866114923223
10.0,-5.359821305261942
1.0,-0.4121303922426147
0.0,4.1815799419006625
56.0,2.530053917880905
1.0,1.5005916899845815
0.0,11.737195766017969
60.0,5.036860274396868
4.0,-1.2216334968555458
9.5,16.43279543971781
15.0,7.178301375268067
6.0,16.601712793494844
14.0,7.723148716107293
20.0,12.981389223693395
6.0,28.406752163123187
23.0,31.13635225215193
2.0,15.485191630644309
0.0,2.7512986755398146
7.0,17.336924200614337
10.0,4.5206097563982786
12.0,18.81416109327572
0.0,14.816031867280856
36.0,15.966909843873275
1.0,-1.8698478291256997
0.0,11.878232797152066
0.0,6.227925505343791
4.0,3.234739168465608
0.0,9.362386221831574
0.0,2.4572905640824407
4.0,5.030970960585225
40.0,1.1039808589675104
27.0,10.349136940707112
50.0,6.066014976247111
88.0,6.071451084170223
0.0,5.884467884490829
88.0,5.601866725732429
0.0,4.133844761123537
40.0,6.71115489885232
0.0,2.5945229644209613
88.0,7.654157425125451
0.0,0.6145664774924375
60.0,8.463146112870836
60.0,3.292971460165891
0.0,5.0244823443569935
25.0,9.508863849399656
5.0,2.474146125005923
13.0,6.279024191093872
4.0,7.939486361174765
88.0,12.990360084593672
2.0,10.871846697565623
40.0,6.394582773457837
0.0,2.7248180832784907
61.0,-3.6619308133579693
0.0,2.6776046821561827
39.0,-5.631943396008133
32.0,-0.5047102707551687
28.0,9.265056969758545
19.0,-0.9602155834648123
23.0,-3.715279511457629
2.0,1.6915250503933965
1.0,6.553293788226835
0.0,7.256063177951717
0.0,3.572872603412982
0.0,9.456625067974414
2.0,12.29366584436661
40.0,-4.346616011832996
50.0,3.5803229757724377
12.0,6.219675429236091
12.0,16.996033132863474
0.0,8.718760948529859
5.0,-1.535798131812589
0.0,2.3347190240091322
0.0,-0.5505196663022822
35.0,-0.2570465406359794
2.0,4.8742983544775305
9.0,6.588262471258078
0.0,5.041161121171822
0.0,0.5553332951556298
60.0,1.074166614274274
60.0,1.908775907550531
8.0,12.987657573576474
4.0,3.540375461942606
0.0,3.466744912017627
70.0,0.4035781070334874
100.0,5.018554290905842
0.0,0.36029213188020925
30.0,1.5655754535938797
1.0,2.390161488687685
0.0,2.890952702476194
0.0,-2.082428622825974
0.0,-0.13185595470630496
0.0,-5.481402969042879
0.0,2.554504865894355
0.0,1.964752658137864
10.0,4.762238668421677
1.0,1.0647495111109455
0.0,-2.6106116205624055
49.0,0.169960000702309
0.0,2.076827009258242
6.0,-4.0738896730765894
0.0,3.5087860026710898
0.0,-0.3510530001801726
0.0,0.35512849504961164
39.0,2.7321220914517292
2.0,-2.6939398859993897
3.0,-13.190255820484552
60.0,-4.350524337059726
60.0,-1.095164144602201
15.0,1.7146271452956796
0.0,-11.20429841883556
88.0,-5.56137016372845
0.0,-3.951593028512688
0.0,-13.187329278299778
0.0,-4.9555350840904495
88.0,-5.059452191664741
57.0,0.4785685039149161
0.0,-1.0531949281682333
3.0,-6.353408671933289
1.5,-1.7291491351945218
0.0,-4.552557647005774
0.0,-1.6912657507765019
8.0,0.8536264307912376
0.0,-1.945464200331255
27.0,-1.7867203852317033
